Week number, PRs closed this week, PRs merged this week
2017 w06, 30, 23
2017 w07, 83, 63
2017 w08, 129, 117
2017 w09, 148, 133
2017 w10, 136, 129
2017 w11, 71, 68
2017 w12, 76, 66
2017 w13, 130, 112
2017 w14, 84, 64
2017 w15, 91, 80
2017 w16, 93, 75
2017 w17, 76, 61
2017 w18, 109, 104
2017 w19, 76, 65
2017 w20, 102, 92
2017 w21, 115, 101
2017 w22, 75, 68
2017 w23, 179, 164
2017 w24, 153, 132
2017 w25, 110, 102
2017 w26, 112, 104
2017 w27, 92, 75
2017 w28, 76, 71
2017 w29, 88, 67
2017 w30, 124, 104
2017 w31, 51, 47
2017 w32, 58, 44
2017 w33, 78, 70
2017 w34, 58, 50
2017 w35, 48, 43
2017 w36, 219, 192
2017 w37, 139, 124
2017 w38, 88, 76
2017 w39, 98, 84
2017 w40, 78, 70
2017 w41, 64, 54
2017 w42, 71, 57
2017 w43, 81, 69
2017 w44, 109, 93
2017 w45, 104, 93
2017 w46, 73, 61
2017 w47, 106, 88
2017 w48, 112, 96
2017 w49, 73, 66
2017 w50, 106, 95
2017 w51, 76, 69
2017 w52, 47, 37
2018 w01, 57, 47
2018 w02, 38, 29
2018 w03, 62, 50
2018 w04, 140, 123
2018 w05, 171, 134
2018 w06, 77, 67
2018 w07, 105, 92
2018 w08, 147, 130
2018 w09, 81, 74
2018 w10, 100, 85
2018 w11, 49, 42
2018 w12, 93, 84
2018 w13, 92, 81
2018 w14, 79, 70
2018 w15, 56, 44
2018 w16, 77, 73
2018 w17, 59, 54
2018 w18, 64, 55
2018 w19, 45, 38
2018 w20, 213, 184
2018 w21, 111, 93
2018 w22, 218, 187
2018 w23, 258, 223
2018 w24, 143, 128
2018 w25, 120, 108
2018 w26, 117, 101
2018 w27, 140, 130
2018 w28, 101, 84
2018 w29, 88, 74
2018 w30, 132, 119
2018 w31, 105, 90
2018 w32, 73, 66
2018 w33, 60, 54
2018 w34, 102, 93
2018 w35, 71, 58
2018 w36, 81, 59
2018 w37, 237, 209
2018 w38, 168, 144
2018 w39, 117, 103
2018 w40, 88, 77
2018 w41, 104, 91
2018 w42, 163, 145
2018 w43, 172, 150
2018 w44, 126, 106
2018 w45, 144, 125
2018 w46, 113, 105
2018 w47, 111, 86
2018 w48, 148, 130
2018 w49, 183, 162
2018 w50, 110, 96
2018 w51, 134, 113
2018 w52, 72, 62
2019 w01, 60, 54
2019 w02, 89, 70
2019 w03, 79, 59
2019 w04, 50, 41
2019 w05, 61, 55
2019 w06, 51, 43
2019 w07, 80, 65
2019 w08, 109, 81
2019 w09, 113, 94
2019 w10, 109, 93
2019 w11, 95, 83
2019 w12, 164, 111
2019 w13, 149, 112
2019 w14, 57, 44
2019 w15, 130, 101
2019 w16, 69, 50
2019 w17, 98, 88
2019 w18, 103, 95
2019 w19, 159, 105
2019 w20, 177, 146
2019 w21, 153, 132
2019 w22, 261, 203
2019 w23, 170, 146
2019 w24, 191, 163
2019 w25, 166, 148
2019 w26, 152, 142
2019 w27, 151, 130
2019 w28, 114, 99
2019 w29, 90, 72
2019 w30, 87, 76
2019 w31, 112, 100
2019 w32, 66, 48
2019 w33, 91, 77
2019 w34, 171, 141
2019 w35, 151, 133
2019 w36, 83, 74
2019 w37, 613, 524
2019 w38, 153, 137
2019 w39, 144, 126
2019 w40, 101, 85
2019 w41, 152, 137
2019 w42, 107, 87
2019 w43, 90, 78
2019 w44, 62, 55
2019 w45, 50, 45
2019 w46, 96, 82
2019 w47, 161, 143
2019 w48, 63, 50
2019 w49, 75, 66
2019 w50, 111, 86
2019 w51, 47, 40
2019 w52, 48, 46
2020 w01, 102, 83
2020 w02, 126, 91
2020 w03, 104, 62
2020 w04, 138, 102
2020 w05, 108, 90
2020 w06, 110, 82
2020 w07, 98, 87
2020 w08, 91, 69
2020 w09, 84, 71
2020 w10, 131, 119
2020 w11, 174, 143
2020 w12, 87, 70
2020 w13, 88, 72
2020 w14, 137, 113
2020 w15, 87, 63
2020 w16, 120, 107
2020 w17, 97, 81
2020 w18, 134, 121
2020 w19, 102, 89
2020 w20, 139, 114
2020 w21, 206, 173
2020 w22, 209, 166
2020 w23, 127, 107
2020 w24, 176, 146
2020 w25, 124, 108
2020 w26, 174, 147
2020 w27, 109, 95
2020 w28, 104, 82
2020 w29, 83, 72
2020 w30, 70, 58
2020 w31, 62, 39
2020 w32, 90, 78
2020 w33, 86, 77
2020 w34, 39, 30
2020 w35, 50, 39
2020 w36, 111, 93
2020 w37, 91, 80
2020 w38, 98, 76
2020 w39, 82, 64
2020 w40, 103, 72
2020 w41, 85, 76
2020 w42, 87, 67
2020 w43, 243, 210
2020 w44, 109, 83
2020 w45, 98, 77
2020 w46, 89, 68
2020 w47, 171, 153
2020 w48, 85, 76
2020 w49, 104, 91
2020 w50, 75, 60
2020 w51, 155, 130
2020 w52, 101, 84
2020 w53, 113, 94
2021 w01, 91, 81
2021 w02, 37, 26
2021 w03, 71, 56
2021 w04, 92, 79
2021 w05, 70, 53
2021 w06, 34, 28
2021 w07, 85, 74
2021 w08, 61, 50
2021 w09, 93, 75
2021 w10, 65, 58
2021 w11, 83, 62
2021 w12, 81, 65
2021 w13, 126, 104
2021 w14, 150, 133
2021 w15, 124, 110
2021 w16, 144, 120
2021 w17, 247, 215
2021 w18, 227, 169
2021 w19, 177, 146
2021 w20, 145, 117
2021 w21, 163, 118
2021 w22, 110, 94
2021 w23, 132, 114
2021 w24, 91, 78
2021 w25, 109, 98
2021 w26, 82, 69
2021 w27, 71, 53
2021 w28, 149, 130
2021 w29, 124, 109
2021 w30, 194, 170
2021 w31, 136, 116
2021 w32, 99, 88
2021 w33, 112, 95
2021 w34, 139, 115
2021 w35, 138, 117
2021 w36, 115, 100
2021 w37, 165, 146
2021 w38, 127, 91
2021 w39, 134, 112
2021 w40, 148, 126
2021 w41, 149, 132
2021 w42, 168, 129
2021 w43, 122, 104
2021 w44, 108, 101
2021 w45, 84, 70
2021 w46, 137, 122
2021 w47, 125, 107
2021 w48, 101, 91
2021 w49, 145, 124
2021 w50, 111, 101
2021 w51, 54, 49
2021 w52, 57, 44
2022 w01, 130, 112
2022 w02, 117, 87
2022 w03, 224, 183
2022 w04, 162, 130
2022 w05, 127, 109
2022 w06, 130, 112
2022 w07, 163, 126
2022 w08, 150, 125
2022 w09, 106, 85
2022 w10, 151, 131
2022 w11, 156, 136
2022 w12, 24, 21
